epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.6074107885360718,0.8562395572662354,0.6512390375137329,0.85042804479599
1,0.695155680179596,0.7173168659210205,0.7345724105834961,0.6426984071731567
2,0.7514047026634216,0.6179911494255066,0.785592794418335,0.5510538220405579
3,0.7882460355758667,0.5491676330566406,0.8066083788871765,0.5062328577041626
4,0.8118451237678528,0.5057900547981262,0.820213794708252,0.48130732774734497
5,0.8263325691223145,0.471987247467041,0.8335762619972229,0.4595758020877838
6,0.8389673233032227,0.4408561587333679,0.8262876868247986,0.4871467649936676
7,0.849962055683136,0.41485732793807983,0.8350340127944946,0.49523547291755676
8,0.859650731086731,0.38990262150764465,0.8466958403587341,0.4265175461769104
9,0.8672741055488586,0.36955228447914124,0.8504616022109985,0.4284309148788452
10,0.8749278783798218,0.35069337487220764,0.8487609624862671,0.4442073702812195
11,0.8824297785758972,0.3296426832675934,0.8463314175605774,0.4350147247314453
